GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ch13-continuous,es.ull.passengers,Passenger,0,89,0,10,0,23,0,13,0,8
ch13-continuous,es.ull.flights,Flight,5,68,1,3,1,17,1,7,0,6
